surface_name	site_name	species_name	formation_energy	bulk_structure	frequencies	other_parameters	reference
titi	111	H2O2	-7.338	None	[]	[]	Input File Tutorial.
titi	111	Ha	-1.755	None	[]	[]	Input File Tutorial.
titi	111	Hb	-1.509	None	[]	[]	Input File Tutorial.
titi	111	Hb-O	-3.161	None	[]	[]	Input File Tutorial.
titi	111	O	0.463	None	[]	[]	Input File Tutorial.
titi	111	OH	-3.861	None	[]	[]	Input File Tutorial.
titi	111	OOH	-3.975	None	[]	[]	Input File Tutorial.
titi	111	OOH-C6H12	-31.575	None	[]	[]	Input File Tutorial.
tiw	111	C6H12	-30.109	None	[]	[]	Input File Tutorial.
tiw	111	C6H12O	-28.113	None	[]	[]	Input File Tutorial.
tiw	111	H2O	-7.877	None	[]	[]	Input File Tutorial.
tiw	111	H2O2	-7.345	None	[]	[]	Input File Tutorial.
tiw	111	Ha	-1.192	None	[]	[]	Input File Tutorial.
tiw	111	Hb	-0.22	None	[]	[]	Input File Tutorial.
tiw	111	Hb-O	-3.909	None	[]	[]	Input File Tutorial.
tiw	111	O	-3.317	None	[]	[]	Input File Tutorial.
tiw	111	OH	-5.577	None	[]	[]	Input File Tutorial.
tiw	111	OOH	-5.289	None	[]	[]	Input File Tutorial.
tiw	111	OOH-C6H12	-33.226	None	[]	[]	Input File Tutorial.
tita	111	C6H12	-26.271	None	[]	[]	Input File Tutorial.
tita	111	C6H12O	-28.088	None	[]	[]	Input File Tutorial.
tita	111	H2O	-8.072	None	[]	[]	Input File Tutorial.
tita	111	H2O2	-7.632	None	[]	[]	Input File Tutorial.
tita	111	Ha	-1.592	None	[]	[]	Input File Tutorial.
tita	111	Hb	-0.125	None	[]	[]	Input File Tutorial.
tita	111	Hb-O	-4.102	None	[]	[]	Input File Tutorial.
tita	111	O	-2.055	None	[]	[]	Input File Tutorial.
tita	111	OH	-6.613	None	[]	[]	Input File Tutorial.
tita	111	OOH	-6.301	None	[]	[]	Input File Tutorial.
tita	111	OOH-C6H12	-34.681	None	[]	[]	Input File Tutorial.
ticr	111	C6H12	-26.2	None	[]	[]	Input File Tutorial.
ticr	111	C6H12O	-27.869	None	[]	[]	Input File Tutorial.
ticr	111	H2O	-7.812	None	[]	[]	Input File Tutorial.
ticr	111	H2O2	-7.287	None	[]	[]	Input File Tutorial.
ticr	111	Ha	-1.966	None	[]	[]	Input File Tutorial.
ticr	111	Hb	-1.289	None	[]	[]	Input File Tutorial.
ticr	111	Hb-O	-6.57	None	[]	[]	Input File Tutorial.
ticr	111	O	-1.103	None	[]	[]	Input File Tutorial.
