descriptor-H_s	descriptor-O_s	C3H6O_g	C3H6_g	H2O_g	H2_g
1.0	0.0	0.0	1.0630915782061186e-20	1.0630915782061186e-20	0.0
1.0	-0.45454545454545503	0.0	6.486577919178025e-25	6.486577919177492e-25	0.0
1.0	-0.9090909090909092	0.0	8.658467874648672e-25	8.658467874628053e-25	0.0
1.0	-1.3636363636363638	0.0	2.9990344848417284e-27	2.999034484569679e-27	0.0
1.0	-1.8181818181818183	7.476607128502272e-28	4.405902391406529e-31	3.86171117406016e-26	7.044770391188924e-31
1.0	-2.272727272727273	6.2588543200264445e-28	0.0	0.0	3.4365377423322674e-26
1.0	-2.7272727272727275	6.759043909037694e-28	0.0	0.0	3.314661849153319e-26
1.0	-3.1818181818181817	1.2680178780231202e-27	0.0	0.0	2.0550575906162642e-26
1.0	-3.6363636363636367	6.69008224830551e-27	0.0	0.0	3.5861373352126057e-26
1.0	-4.090909090909091	3.306620022144887e-26	0.0	0.0	5.858400825390902e-26
1.0	-4.545454545454546	4.047861302752762e-26	0.0	0.0	2.371356089785398e-26
1.0	-5.0	9.292355896128077e-27	1.4052454654781538e-27	1.4052454654781678e-27	9.025967073647043e-27
0.545454545454545	0.0	0.0	1.4807475531428952e-22	1.4807475531428952e-22	0.0
0.545454545454545	-0.45454545454545503	0.0	5.383735864154477e-27	5.383735864154488e-27	0.0
0.545454545454545	-0.9090909090909092	0.0	6.424909221463313e-28	6.42490922145779e-28	0.0
0.545454545454545	-1.3636363636363638	0.0	5.1842214588132715e-27	5.184221458812446e-27	0.0
0.545454545454545	-1.8181818181818183	0.0	3.487882467186932e-28	3.4878824671823282e-28	0.0
0.545454545454545	-2.272727272727273	0.0	1.7321242087025063e-32	1.7321242084933803e-32	0.0
0.545454545454545	-2.7272727272727275	2.6445166087691185e-26	0.0	0.0	3.399909157163275e-26
0.545454545454545	-3.1818181818181817	4.962375494889679e-26	0.0	0.0	2.0555626398262728e-26
0.545454545454545	-3.6363636363636367	6.705753154586985e-27	0.0	0.0	2.785719041578792e-26
0.545454545454545	-4.090909090909091	2.0131936730077244e-27	0.0	0.0	2.66548901794325e-26
0.545454545454545	-4.545454545454546	0.0	0.0	0.0	3.1134287293624485e-26
0.545454545454545	-5.0	0.0	0.0	0.0	4.0923648441002704e-26
0.09090909090909083	0.0	4.838729874219418e-26	8.17842926256584e-37	5.161073154731589e-27	0.0
0.09090909090909083	-0.45454545454545503	2.0372584159542727e-31	6.07357129848807e-38	1.799059061918968e-26	0.0
